Date,Open,High,Low,Close
2022-09-16,19649.82,19691.1,19140.8,19552.11
2022-09-17,19555.96,19977.54,19494.11,19875.29
2022-09-18,19875.3,19939.96,19364.89,19522.1
2022-09-19,19521.53,19523.51,18068.24,19318.9
2022-09-20,19321.58,19478.05,18541.82,18778.06
2022-09-21,18778.96,19640.28,18411.05,18734.82
2022-09-22,18733.75,19291.64,17965.84,19050.26
2022-09-23,19050.06,19306.08,18335.45,18660.6
2022-09-24,18661.19,19209.38,18613.02,18947.91
2022-09-25,18947.26,18980.56,18616.38,18712.5
2022-09-26,18710.56,19118.71,18442.05,18921.04
2022-09-27,18920.91,20169.97,18629.82,18880.57
2022-09-28,18880.57,19456.62,18293.91,19371.18
2022-09-29,19370.12,19575.39,18653.96,19303.19
2022-09-30,19307.14,19971.17,18957.72,19227.01
2022-10-01,19228.42,19285.89,18963.8,19054.62
2022-10-02,19055.27,19198.22,18845.48,19037.04
2022-10-03,19037.03,19447.37,18730.92,19395.11
2022-10-04,19394.32,20241.11,19297.37,20122.92
2022-10-05,20117.91,20191.01,19539.61,19780.88
2022-10-06,19779.29,20235.9,19675.65,19844.54
2022-10-07,19844.0,19848.99,19131.14,19348.67
2022-10-08,19349.57,19443.49,19220.2,19254.32
2022-10-09,19254.37,19354.76,19050.82,19283.56
2022-10-10,19283.83,19324.39,18903.63,19046.76
2022-10-11,19045.58,19085.48,18669.3,18829.1
2022-10-12,18829.8,19003.38,18785.81,18976.94
2022-10-13,18976.72,19305.12,17981.45,19186.11
2022-10-14,19186.11,19745.4,18918.72,18980.72
2022-10-15,18980.29,19029.64,18844.94,18901.13
2022-10-16,18901.38,19225.34,18788.49,19133.47
2022-10-17,19132.91,19473.82,18908.1,19329.99
2022-10-18,19329.39,19501.2,18899.07,19168.85
2022-10-19,19168.85,19180.81,18867.91,19000.28
2022-10-20,18999.2,19141.26,18713.48,18833.92
2022-10-21,18838.23,19052.0,18476.98,18984.75
2022-10-22,18984.59,19058.8,18920.78,19021.75
2022-10-23,19021.51,19324.27,18883.69,19299.02
2022-10-24,19298.89,19491.88,18965.4,19179.22
2022-10-25,19178.59,20199.07,19035.44,19972.34
2022-10-26,19976.84,20786.09,19767.64,20529.59
2022-10-27,20530.33,20685.41,20029.55,20179.05
2022-10-28,20179.12,20533.06,19788.66,20412.33
2022-10-29,20412.78,20843.77,20343.79,20637.78
2022-10-30,20638.35,20712.83,20338.48,20467.07
2022-10-31,20467.08,20613.49,20021.47,20183.69
2022-11-01,20183.73,20459.66,20109.66,20259.67
2022-11-02,20260.17,20579.51,19887.25,19958.62
2022-11-03,19958.65,20169.54,19817.94,20019.9
2022-11-04,20019.86,20110.27,19943.19,20096.28
